time	V(n012)	V(n015)	I(L1)
2.045487467157883e-006	1.400612e-001	1.392113e+000	-9.832700e-002
2.049644783055647e-006	2.275200e-001	1.061151e+000	-9.845919e-002
2.054113486035298e-006	3.356044e-001	7.885864e-001	-9.858619e-002
2.058243470112948e-006	4.463429e-001	5.969443e-001	-9.868817e-002
2.061759180480261e-006	5.474935e-001	4.720290e-001	-9.876126e-002
2.065356446833453e-006	6.565576e-001	3.727210e-001	-9.882195e-002
2.068949885744758e-006	7.703850e-001	2.957843e-001	-9.886731e-002
2.073478002599745e-006	9.198207e-001	2.234066e-001	-9.890099e-002
2.079562137490621e-006	1.129626e+000	1.537605e-001	-9.890900e-002
2.085558024760972e-006	1.345023e+000	1.069027e-001	-9.887432e-002
2.091572516500423e-006	1.568422e+000	7.591415e-002	-9.879304e-002
2.097352314788791e-006	1.789099e+000	5.619648e-002	-9.866884e-002
2.103485840759594e-006	2.028872e+000	4.232460e-002	-9.848636e-002
2.109741670044426e-006	2.278585e+000	3.292952e-002	-9.824579e-002
2.116491860004491e-006	2.553042e+000	2.625097e-002	-9.792327e-002
2.123578195393773e-006	2.845864e+000	2.163540e-002	-9.751309e-002
2.131442054470307e-006	3.175354e+000	1.826323e-002	-9.697048e-002
2.140080801594205e-006	3.541443e+000	1.579197e-002	-9.626689e-002
2.150080101911691e-006	3.968672e+000	1.384002e-002	-9.531028e-002
2.161660651146668e-006	4.465335e+000	1.223399e-002	-9.400989e-002
2.175800904064630e-006	5.069959e+000	1.077439e-002	-9.214134e-002
2.193248744151791e-006	5.805543e+000	9.373813e-003	-8.941291e-002
2.215978098515099e-006	6.732009e+000	7.918933e-003	-8.518199e-002
2.245504672207158e-006	7.855718e+000	6.404724e-003	-7.862490e-002
2.284305152469045e-006	9.152630e+000	4.829046e-003	-6.844360e-002
2.330370751242066e-006	1.038765e+001	3.367967e-003	-5.456985e-002
2.371905789346546e-006	1.121728e+001	2.345201e-003	-4.074743e-002
2.403637684835367e-006	1.168583e+001	1.722677e-003	-2.950442e-002
2.423446672364612e-006	1.191337e+001	1.393072e-003	-2.224854e-002
2.433446672364612e-006	1.201065e+001	1.242546e-003	-1.852577e-002
