time	V(n012)	V(n015)	I(L1)
2.034169107977308e-006	3.380292e-003	2.897840e+000	-1.040379e-001
2.034833990962868e-006	3.925417e-003	2.772266e+000	-1.040563e-001
2.035382091561009e-006	4.720987e-003	2.673051e+000	-1.040714e-001
2.035882148974835e-006	6.026662e-003	2.585871e+000	-1.040852e-001
2.036402257086753e-006	8.483485e-003	2.498429e+000	-1.040994e-001
2.036967804772937e-006	1.298149e-002	2.406986e+000	-1.041147e-001
2.037660759661767e-006	2.086698e-002	2.299676e+000	-1.041333e-001
2.038421437561763e-006	3.110376e-002	2.187429e+000	-1.041534e-001
2.039289726101576e-006	4.367606e-002	2.066619e+000	-1.041758e-001
2.040539005031997e-006	6.323897e-002	1.907178e+000	-1.042067e-001
2.043037562892839e-006	1.072385e-001	1.628718e+000	-1.042643e-001
2.047060118402569e-006	1.904852e-001	1.264467e+000	-1.043444e-001
2.052783257623639e-006	3.316364e-001	8.676128e-001	-1.044337e-001
2.057199661165891e-006	4.559107e-001	6.395607e-001	-1.044804e-001
2.060636375879355e-006	5.601775e-001	5.077641e-001	-1.044984e-001
2.064185549245310e-006	6.737258e-001	4.022887e-001	-1.044992e-001
2.067729383043779e-006	7.922676e-001	3.199960e-001	-1.044815e-001
2.071995195531038e-006	9.408702e-001	2.453456e-001	-1.044329e-001
2.077888596255491e-006	1.155222e+000	1.708649e-001	-1.043209e-001
2.083979346746481e-006	1.386082e+000	1.178517e-001	-1.041510e-001
2.089990321116702e-006	1.621719e+000	8.322866e-002	-1.039245e-001
2.095797282009181e-006	1.855603e+000	6.111823e-002	-1.036469e-001
2.101851489107800e-006	2.105010e+000	4.581666e-002	-1.032942e-001
2.108081247964357e-006	2.366672e+000	3.534342e-002	-1.028632e-001
2.114723082868692e-006	2.650299e+000	2.796033e-002	-1.023263e-001
2.121725997445309e-006	2.953518e+000	2.282222e-002	-1.016723e-001
2.129399166601566e-006	3.289453e+000	1.910431e-002	-1.008506e-001
2.137835241095569e-006	3.661733e+000	1.637536e-002	-9.981889e-002
2.147471871289522e-006	4.088720e+000	1.425072e-002	-9.847482e-002
2.158605956847776e-006	4.581440e+000	1.251583e-002	-9.670132e-002
2.171989823381912e-006	5.168329e+000	1.097425e-002	-9.425771e-002
2.188401619691974e-006	5.872598e+000	9.513247e-003	-9.080385e-002
2.209364351525131e-006	6.734626e+000	8.028066e-003	-8.568861e-002
2.236504426194994e-006	7.766001e+000	6.484156e-003	-7.798803e-002
2.271822639967304e-006	8.931539e+000	4.887303e-003	-6.641001e-002
2.314995446870633e-006	1.005513e+001	3.368256e-003	-5.038717e-002
2.361987115382448e-006	1.090711e+001	2.095323e-003	-3.129148e-002
2.399562405539348e-006	1.133502e+001	1.285234e-003	-1.516583e-002
2.419822821243036e-006	1.147922e+001	9.060498e-004	-6.237398e-003
2.427162696397816e-006	1.151682e+001	7.760651e-004	-2.970724e-003
2.441842446707377e-006	1.156859e+001	5.199775e-004	3.579448e-003
2.450000000000000e-006	1.158370e+001	3.777655e-004	7.218486e-003
2.460000000000000e-006	1.158863e+001	2.029314e-004	1.167565e-002
2.460220000000000e-006	1.158856e+001	1.990489e-004	1.177354e-002
2.460660000000000e-006	1.158841e+001	1.912756e-004	1.196929e-002
2.463299999999999e-006	1.158691e+001	1.444680e-004	1.314299e-002
2.470000000000000e-006	1.157823e+001	2.473947e-005	1.611699e-002
2.470006996013992e-006	1.157822e+001	2.461339e-005	1.612009e-002
2.470020988041976e-006	1.157819e+001	2.436125e-005	1.612629e-002
2.471040407223667e-006	1.157625e+001	5.965519e-006	1.657794e-002
2.472059826405358e-006	1.157415e+001	-1.249588e-005	1.702926e-002
