Freq.	V(Vout+,Vout-)*45
2.07207207207207e+004	(-7.09821713038149e+000dB,1.45936519817184e+002°)
2.08368368368368e+004	(-7.00404841113610e+000dB,1.45763356485519e+002°)
2.09529529529529e+004	(-6.91040369811135e+000dB,1.45590409694198e+002°)
2.10690690690690e+004	(-6.81727662068284e+000dB,1.45417678757545e+002°)
2.11851851851851e+004	(-6.72466090672411e+000dB,1.45245162969041e+002°)
2.13013013013012e+004	(-6.63255038047023e+000dB,1.45072861601388e+002°)
2.14174174174174e+004	(-6.54093896043938e+000dB,1.44900773906566e+002°)
2.15335335335335e+004	(-6.44982065741070e+000dB,1.44728899115891e+002°)
2.16496496496496e+004	(-6.35918957245649e+000dB,1.44557236440079e+002°)
2.17657657657657e+004	(-6.26903989502710e+000dB,1.44385785069300e+002°)
2.18818818818818e+004	(-6.17936590108672e+000dB,1.44214544173237e+002°)
2.19979979979979e+004	(-6.09016195129850e+000dB,1.44043512901146e+002°)
2.21141141141140e+004	(-6.00142248925740e+000dB,1.43872690381912e+002°)
2.22302302302302e+004	(-5.91314203976937e+000dB,1.43702075724102e+002°)
2.23463463463463e+004	(-5.82531520717519e+000dB,1.43531668016027e+002°)
2.24624624624624e+004	(-5.73793667371786e+000dB,1.43361466325790e+002°)
2.25785785785785e+004	(-5.65100119795186e+000dB,1.43191469701347e+002°)
2.26946946946946e+004	(-5.56450361319331e+000dB,1.43021677170558e+002°)
2.28108108108107e+004	(-5.47843882600950e+000dB,1.42852087741236e+002°)
2.29269269269268e+004	(-5.39280181474681e+000dB,1.42682700401205e+002°)
2.30430430430430e+004	(-5.30758762809558e+000dB,1.42513514118348e+002°)
2.31591591591591e+004	(-5.22279138369117e+000dB,1.42344527840657e+002°)
2.32752752752752e+004	(-5.13840826674974e+000dB,1.42175740496283e+002°)
2.33913913913913e+004	(-5.05443352873798e+000dB,1.42007150993585e+002°)
2.35075075075074e+004	(-4.97086248607568e+000dB,1.41838758221173e+002°)
