Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.33633633633633e+005	(-1.96661435483621e+001dB,-1.08633204619598e+002°)
1.33833833833833e+005	(-1.93982851269555e+001dB,-1.08952114574920e+002°)
1.34034034034034e+005	(-1.91267053326757e+001dB,-1.09282560411171e+002°)
1.34234234234234e+005	(-1.88512812462577e+001dB,-1.09625206795306e+002°)
1.34434434434434e+005	(-1.85718842094125e+001dB,-1.09980770688282e+002°)
1.34634634634634e+005	(-1.82883795221675e+001dB,-1.10350026516415e+002°)
1.34834834834834e+005	(-1.80006261302185e+001dB,-1.10733811952669e+002°)
1.35035035035035e+005	(-1.77084763042780e+001dB,-1.11133034390395e+002°)
1.35235235235235e+005	(-1.74117753142589e+001dB,-1.11548678204440e+002°)
1.35435435435435e+005	(-1.71103611022407e+001dB,-1.11981812908855e+002°)
1.35635635635635e+005	(-1.68040639595977e+001dB,-1.12433602337103e+002°)
1.35835835835835e+005	(-1.64927062155226e+001dB,-1.12905314989886e+002°)
1.36036036036036e+005	(-1.61761019465619e+001dB,-1.13398335718083e+002°)
1.36236236236236e+005	(-1.58540567198602e+001dB,-1.13914178933994e+002°)
1.36436436436436e+005	(-1.55263673867708e+001dB,-1.14454503573835e+002°)
1.36636636636636e+005	(-1.51928219485964e+001dB,-1.15021130068512e+002°)
1.36836836836836e+005	(-1.48531995228019e+001dB,-1.15616059618600e+002°)
1.37037037037037e+005	(-1.45072704465164e+001dB,-1.16241496113589e+002°)
1.37237237237237e+005	(-1.41547965650703e+001dB,-1.16899871084880e+002°)
1.37437437437437e+005	(-1.37955317674074e+001dB,-1.17593872136564e+002°)
1.37637637637637e+005	(-1.34292228483871e+001dB,-1.18326475356967e+002°)
1.37837837837837e+005	(-1.30556108014494e+001dB,-1.19100982275404e+002°)
1.38038038038037e+005	(-1.26744326753458e+001dB,-1.19921061989335e+002°)
1.38238238238238e+005	(-1.22854241676083e+001dB,-1.20790799141282e+002°)
1.38438438438438e+005	(-1.18883231775417e+001dB,-1.21714748462981e+002°)
